RGB Code             HEX Code             English Name
190-189-127          #BEBD7F              Green beige
194-176-120          #C2B078              Beige
198-166-100          #C6A664              Sand yellow
229-190-001          #E5BE01              Signal yellow
205-164-052          #CDA434              Golden yellow
169-131-007          #A98307              Honey yellow
228-160-016          #E4A010              Maize yellow
220-156-000          #DC9D00              Daffodil yellow
138-102-066          #8A6642              Brown beige
199-180-070          #C7B446              Lemon yellow
234-230-202          #EAE6CA              Oyster white
225-204-079          #E1CC4F              Ivory
230-214-144          #E6D690              Light ivory
237-255-033          #EDFF21              Sulfur yellow
245-208-051          #F5D033              Saffron yellow
248-243-053          #F8F32B              Zinc yellow
158-151-100          #9E9764              Grey beige
153-153-080          #999950              Olive yellow
250-210-001          #FAD201              Traffic yellow
174-160-075          #AEA04B              Ochre yellow
255-255-000          #FFFF00              Luminous yellow
157-145-001          #9D9101              Curry
244-169-000          #F4A900              Melon yellow
214-174-001          #D6AE01              Broom yellow
243-165-005          #F3A505              Dahlia yellow
239-169-074          #EFA94A              Pastel yellow
106-093-077          #6A5D4D              Pearl beige
112-083-053          #705335              Pearl gold
243-159-024          #F39F18              Sun yellow
237-118-014          #ED760E              Yellow orange
201-060-032          #C93C20              Red orange
203-040-033          #CB2821              Vermilion
255-117-020          #FF7514              Pastel orange
244-070-017          #F44611              Pure orange
255-035-001          #FF2301              Luminous orange
255-164-032          #FFA420              Luminous bright orange
247-094-037          #F75E25              Bright red orange
245-064-033          #F54021              Traffic orange
216-075-032          #D84B20              Signal orange
236-124-038          #EC7C26              Deep orange
235-106-014          #E55137              Salmon range
195-088-049          #C35831              Pearl orange
175-043-030          #AF2B1E              Flame red
165-032-025          #A52019              Signal red
162-035-029          #A2231D              Carmine red
155-017-030          #9B111E              Ruby red
117-021-030          #75151E              Purple red
094-033-041          #5E2129              Wine red
065-034-039          #412227              Black red
100-036-036          #642424              Oxide red
120-031-025          #781F19              Brown red
193-135-107          #C1876B              Beige red
161-035-018          #A12312              Tomato red
211-110-112          #D36E70              Antique pink
234-137-154          #EA899A              Light pink
179-040-033          #B32821              Coral red
230-050-068          #E63244              Rose
213-048-050          #D53032              Strawberry red
204-006-005          #CC0605              Traffic red
217-080-048          #D95030              Salmon pink
248-000-000          #F80000              Luminous red
254-000-000          #FE0000              Luminous bright red
197-029-052          #C51D34              Raspberry red
203-050-052          #CB3234              Pure  red
179-036-040          #B32428              Orient red
114-020-034          #721422              Pearl ruby red
180-076-067          #B44C43              Pearl pink
222-076-138          #6D3F5B              Red lilac
146-043-062          #922B3E              Red violet
222-076-138          #DE4C8A              Heather violet
110-028-052          #641C34              Claret violet
108-070-117          #6C4675              Blue lilac
160-052-114          #A03472              Traffic purple
074-025-044          #4A192C              Purple violet
144-070-132          #924E7D              Signal violet
164-125-144          #A18594              Pastel violet
215-045-109          #CF3476              Telemagenta
134-115-161          #8673A1              Pearl violet
108-104-129          #6C6874              Pearl black berry
042-046-075          #354D73              Violet blue
031-052-056          #1F3438              Green blue
032-033-079          #20214F              Ultramarine blue
029-030-051          #1D1E33              Saphire blue
032-033-079          #18171C              Black blue
030-045-110          #1E2460              Signal blue
062-095-138          #3E5F8A              Brillant blue
038-037-045          #26252D              Grey blue
002-086-105          #025669              Azure blue
014-041-075          #0E294B              Gentian blue
035-026-036          #231A24              Steel blue
059-131-189          #3B83BD              Light blue
037-041-074          #1E213D              Cobalt blue
096-111-140          #606E8C              Pigeon blue
034-113-179          #2271B3              Sky blue
006-057-113          #063971              Traffic blue
063-136-143          #3F888F              Turquoise blue
027-085-131          #1B5583              Capri blue
029-051-074          #1D334A              Ocean blue
037-109-123          #256D7B              Water blue
037-040-080          #252850              Night blue
073-103-141          #49678D              Distant blue
093-155-155          #5D9B9B              Pastel blue
042-100-120          #2A6478              Pearl gentian blue
016-044-084          #102C54              Pearl night blue
049-102-080          #316650              Patina green
040-114-051          #287233              Emerald green
045-087-044          #2D572C              Leaf green
066-070-050          #424632              Olive green
031-058-061          #1F3A3D              Blue green
047-069-056          #2F4538              Moss green
062-059-050          #3E3B32              Grey olive
052-059-041          #343B29              Bottle green
057-053-042          #39352A              Brown green
049-055-043          #31372B              Fir green
053-104-045          #35682D              Grass green
088-114-070          #587246              Reseda green
052-062-064          #343E40              Black green
108-113-086          #6C7156              Reed green
071-064-046          #47402E              Yellow olive
059-060-054          #3B3C36              Black olive
030-089-069          #1E5945              Turquoise green
076-145-065          #4C9141              May green
087-166-057          #57A639              Yellow green
189-236-182          #BDECB6              Pastel green
046-058-035          #2E3A23              Chrome green
137-172-118          #89AC76              Pale green
037-034-027          #25221B              Olive drab
048-132-070          #308446              Traffic green
061-100-045          #3D642D              Fern green
001-093-082          #015D52              Opal green
132-195-190          #84C3BE              Light green
044-085-069          #2C5545              Pine green
032-096-061          #20603D              Mint green
049-127-067          #317F43              Signal green
073-126-118          #497E76              Mint turquoise
